Term,Status,Section,Title,Dates,Location,InstructionalMethods,Meetings,Instructors,Availability,Credits,Comments
Spring 2026,Open,MATH-027-600,Concepts of Math Support,1/26/2026-5/16/2026,Main Campus,"Hybrid 50 (Online)/50 (F2F)
                            
                                Hybrid 50 (Online)/50 (F2F)","M 5:00-5:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 104 (HYB)
                        
                            
                        
                            W 5:00-5:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            WEB CANVAS (HYB)",Mr. Eric Granahan,5 / 11 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-032-L001,Math Literacy Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 9:30-10:20 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)",Ms. Mona Kamal,4 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-032-L003,Math Literacy Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 12:30-1:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 113 (LEC)",Ms. Mary Ellen D. Henderson,4 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-032-L005,Math Literacy Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 5:30-6:20 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 113 (LEC)",Mr. Kelvin Woods,2 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-038-L002,Statistics Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-12:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 211 (LEC)",Ms. Amy S. Curran,4 / 18 / 0,2.00000 Credits,...
Spring 2026,Closed,MATH-038-L004,Statistics Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)",Ms. Greta R. Holtackers Cannon,0 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-038-L005,Statistics Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 11:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 117 (LEC)",Dr. Jamshaid A. Shahir,2 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-038-L007,Statistics Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 12:00-12:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)",Ms. Allison R. Bell,1 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-038-L010,Statistics Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 3:00-3:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)","Mr. Louis W. Fritz, V",1 / 18 / 0,2.00000 Credits,...
Spring 2026,Closed,MATH-038-L013,Statistics Support,1/26/2026-5/16/2026,Main Campus,Lecture,"T, Th 8:00-8:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 111 (LEC)",Mr. Scott W. Austin,0 / 18 / 0,2.00000 Credits,...
Spring 2026,Open,MATH-038-L014,Statistics Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 8:00-8:50 PM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 108 (LEC)",Mr. Darin J. Segal,1 / 18 / 0,2.00000 Credits,...
Spring 2026,Closed,MATH-041-L002,College Algebra Support,1/26/2026-5/16/2026,Main Campus,Lecture,"M, W 11:00-11:50 AM
                        
                            1/26/2026 - 5/16/2026
                        
                            KC 112 (LEC)",Mr. Michael O. Nyagol,0 / 18 / 0,2.00000 Credits,...
